CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
1a78b71dfe73   ca_org1                                                                                                 0.00%     7.715MiB / 11.57GiB   46.7kB / 77.7kB   23.2MB / 1.13MB   7
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
d0d7d1243640   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   7.35%     12.59MiB / 2GiB       13MB / 5.33MB     0B / 0B           9
8edfc6e3bab9   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.91%     8.359MiB / 2GiB       4.15MB / 2.27MB   8.19kB / 0B       8
38a91a5e521b   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.77%     8.07MiB / 2GiB        3.32MB / 1.46MB   0B / 0B           8
1dcb238ff873   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.58%     8.211MiB / 2GiB       3.34MB / 1.44MB   0B / 0B           8
1a00a97eefae   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   3.17%     8.355MiB / 2GiB       3.43MB / 1.49MB   0B / 0B           8
e368eeac52a9   peer3.org1.example.com                                                                                  26.65%    160.7MiB / 11.57GiB   153MB / 139MB     1.68MB / 69.9MB   14
5a3b44a74e0d   peer2.org1.example.com                                                                                  31.93%    153.2MiB / 11.57GiB   153MB / 145MB     61.4kB / 42MB     14
f52bcfec683a   peer1.org1.example.com                                                                                  25.62%    135MiB / 11.57GiB     139MB / 122MB     168kB / 43.6MB    15
2298505756fe   cli                                                                                                     0.00%     12.11MiB / 11.57GiB   109kB / 17.5kB    14.5MB / 336kB    1
fb36a2f9286f   peer0.org2.example.com                                                                                  19.82%    134.6MiB / 11.57GiB   41.7MB / 35.1MB   12.8MB / 15.4MB   14
4e91c5796a73   peer0.org1.example.com                                                                                  17.17%    151.4MiB / 11.57GiB   149MB / 115MB     16.5MB / 18.1MB   12
4dcc78dc2550   couchdb0                                                                                                53.14%    84.28MiB / 11.57GiB   1.9MB / 1.97MB    15.8MB / 15.3MB   42
c3d37a692212   couchdb1                                                                                                24.71%    87.32MiB / 11.57GiB   3.47MB / 3.78MB   12.6MB / 11.4MB   42
acbdacfc7222   orderer.example.com                                                                                     8.60%     88.73MiB / 11.57GiB   33.2MB / 115MB    19.6MB / 67.1MB   14
ff0305c4c2b6   ca_orderer                                                                                              0.00%     7.02MiB / 11.57GiB    23.2kB / 27.2kB   598kB / 659kB     8
271d8fb0e207   ca_org2                                                                                                 0.00%     7.133MiB / 11.57GiB   27.5kB / 35.5kB   573kB / 737kB     8
1a78b71dfe73   ca_org1                                                                                                 0.00%     7.715MiB / 11.57GiB   46.7kB / 77.7kB   23.2MB / 1.13MB   7
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
d0d7d1243640   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.24%     10.52MiB / 2GiB       13.6MB / 5.61MB   0B / 0B           9
8edfc6e3bab9   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.37%     8.285MiB / 2GiB       4.38MB / 2.36MB   8.19kB / 0B       8
38a91a5e521b   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.54%     8.625MiB / 2GiB       3.48MB / 1.53MB   0B / 0B           8
1dcb238ff873   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.29%     8.102MiB / 2GiB       3.49MB / 1.5MB    0B / 0B           8
1a00a97eefae   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.23%     8.141MiB / 2GiB       3.6MB / 1.56MB    0B / 0B           8
e368eeac52a9   peer3.org1.example.com                                                                                  43.64%    171.2MiB / 11.57GiB   169MB / 154MB     1.68MB / 74.7MB   14
5a3b44a74e0d   peer2.org1.example.com                                                                                  46.58%    156.1MiB / 11.57GiB   169MB / 162MB     61.4kB / 46.4MB   14
f52bcfec683a   peer1.org1.example.com                                                                                  47.72%    136.9MiB / 11.57GiB   151MB / 133MB     168kB / 48.3MB    15
2298505756fe   cli                                                                                                     0.00%     12.11MiB / 11.57GiB   109kB / 17.5kB    14.5MB / 336kB    1
fb36a2f9286f   peer0.org2.example.com                                                                                  13.97%    134.7MiB / 11.57GiB   43.4MB / 36.8MB   12.8MB / 16.2MB   14
4e91c5796a73   peer0.org1.example.com                                                                                  19.71%    147.2MiB / 11.57GiB   164MB / 124MB     16.5MB / 19MB     12
4dcc78dc2550   couchdb0                                                                                                68.64%    85.68MiB / 11.57GiB   1.98MB / 2.06MB   15.8MB / 17.2MB   42
c3d37a692212   couchdb1                                                                                                42.73%    86.82MiB / 11.57GiB   3.63MB / 4MB      12.6MB / 12MB     42
acbdacfc7222   orderer.example.com                                                                                     6.12%     97.58MiB / 11.57GiB   35.8MB / 126MB    19.6MB / 72.5MB   15
ff0305c4c2b6   ca_orderer                                                                                              0.00%     7.02MiB / 11.57GiB    23.2kB / 27.2kB   598kB / 659kB     8
271d8fb0e207   ca_org2                                                                                                 0.00%     7.133MiB / 11.57GiB   27.5kB / 35.5kB   573kB / 737kB     8
1a78b71dfe73   ca_org1                                                                                                 0.00%     7.715MiB / 11.57GiB   46.7kB / 77.7kB   23.2MB / 1.13MB   7
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
d0d7d1243640   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     10.52MiB / 2GiB       13.6MB / 5.61MB   0B / 0B           9
8edfc6e3bab9   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     8.285MiB / 2GiB       4.38MB / 2.36MB   8.19kB / 0B       8
38a91a5e521b   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     8.625MiB / 2GiB       3.48MB / 1.53MB   0B / 0B           8
1dcb238ff873   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     8.102MiB / 2GiB       3.49MB / 1.5MB    0B / 0B           8
1a00a97eefae   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     8.141MiB / 2GiB       3.6MB / 1.56MB    0B / 0B           8
e368eeac52a9   peer3.org1.example.com                                                                                  1.22%     155.8MiB / 11.57GiB   174MB / 157MB     1.68MB / 78.3MB   14
5a3b44a74e0d   peer2.org1.example.com                                                                                  1.18%     151.7MiB / 11.57GiB   174MB / 168MB     61.4kB / 51.6MB   14
f52bcfec683a   peer1.org1.example.com                                                                                  1.17%     150MiB / 11.57GiB     156MB / 135MB     168kB / 51.6MB    15
